Tabelle: 99911-0003
International indicators - Education: states, years;;;;;;;;;;;;
International indicators;;;;;;;;;;;;;;;;;;;;;;
;;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
Germany;Public expenditure on education (share of GDP);percent;4.9;e;4.9;e;4.8;e;4.9;e;5.0;e;5.1;e;5.6;e;5.5;e;4.4;e;4.5;e
;Pupil-teacher ratio (primary);number;12;e;12;e;12;e;12;e;.;;.;;.;;.;;...;;...;
;Pupil-teacher ratio (secondary);number;12;e;12;e;12;e;12;e;.;;.;;.;;.;;...;;...;
;Students per 100,000 inhabitants;number;3596;e;3645;e;3695;e;3740;e;3773;e;3967;e;3944;e;4029;e;4013;e;4006;e
__________
"Source:
Institute for Statistics, United Nations Educational,
Scientific and Cultural Organization (UNESCO)"
© Statistisches Bundesamt (Destatis), 2025
created: 2025-11-09 / 16:52:25
