Tabelle: 99911-0010
International indicators - Industry, production:;;;;;;;;;;;;
states, years;;;;;;;;;;;;
International indicators;;;;;;;;;;;;;;;;;;;;;;
;;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;
Germany;Industrial production index;2005=100;105.3;e;111.4;e;112.1;e;93.6;e;104.2;e;111.5;e;110.6;e;110.5;e;112.0;e;113.6;e
;Index of industrial production in manufacturing;2005=100;105.8;e;112.3;e;113.4;e;93.9;e;105.1;e;114.0;e;112.8;e;112.7;e;114.9;e;116.1;e
;Production of passenger cars;1000;5399;e;5709;e;5532;e;4965;e;5552;e;5872;e;5388;e;5440;e;5604;e;5708;e
__________
"Source:
- United Nations: Monthly Bulletin of Statistics (UN MBS):
Industrial production index
Index of industrial production in manufacturing

- International Organization of Motor Vehicle
  Manufacturers (OICA):
Production of passenger cars"
© Statistisches Bundesamt (Destatis), 2025
created: 2025-11-09 / 17:05:41
